"coord_id","short_name","tech_typ","lon","lat","tooltip_text","sampled","sampled_label","tech_label"
93,"Brockloch Rig 2  Exp A","onshore",-4.24171399273875,55.2764056046484,"Site: Brockloch Rig 2  Exp A<br>Type: onshore<br>coord id: 93",TRUE,"training","Onshore"
94,"Dunmglass","onshore",-4.25580233785177,57.2514800694449,"Site: Dunmglass<br>Type: onshore<br>coord id: 94",TRUE,"training","Onshore"
95,"T_WHILW-","onshore",-4.27906057835863,55.6812068778866,"Site: T_WHILW-<br>Type: onshore<br>coord id: 95",TRUE,"training","Onshore"
96,"South Kyle  Farm","onshore",-4.29318307521849,55.3173345182475,"Site: South Kyle  Farm<br>Type: onshore<br>coord id: 96",TRUE,"training","Onshore"
97,"Benbrack","onshore",-4.31196740949772,55.2671851463364,"Site: Benbrack<br>Type: onshore<br>coord id: 97",FALSE,"validation","Onshore"
98,"BETHW-","onshore",-4.32899539636221,57.8052749100923,"Site: BETHW-<br>Type: onshore<br>coord id: 98",TRUE,"training","Onshore"
99,"Corriegarth","onshore",-4.35963802395026,57.1900845581125,"Site: Corriegarth<br>Type: onshore<br>coord id: 99",TRUE,"training","Onshore"
100,"North Kyle  Farm-","onshore",-4.35966029472949,55.3517336471784,"Site: North Kyle  Farm-<br>Type: onshore<br>coord id: 100",TRUE,"training","Onshore"
101,"Coire Na Cloiche","onshore",-4.3731605059793,57.7696192113116,"Site: Coire Na Cloiche<br>Type: onshore<br>coord id: 101",FALSE,"validation","Onshore"
102,"Dersalloch","onshore",-4.48821801395356,55.3042571997225,"Site: Dersalloch<br>Type: onshore<br>coord id: 102",FALSE,"validation","Onshore"
103,"Creag Riabhach  Farm","onshore",-4.51121038419776,58.2193005628183,"Site: Creag Riabhach  Farm<br>Type: onshore<br>coord id: 103",TRUE,"training","Onshore"
104,"Stronelairg","onshore",-4.52636999072241,57.126924519131,"Site: Stronelairg<br>Type: onshore<br>coord id: 104",FALSE,"validation","Onshore"
105,"2__PEDGE","onshore",-4.54695024372865,57.9956247764357,"Site: 2__PEDGE<br>Type: onshore<br>coord id: 105",TRUE,"training","Onshore"
106,"Bhlaraidh","onshore",-4.58190543739885,57.2191470135776,"Site: Bhlaraidh<br>Type: onshore<br>coord id: 106",TRUE,"training","Onshore"
107,"Airies","onshore",-4.65773609667962,54.8020508054976,"Site: Airies<br>Type: onshore<br>coord id: 107",TRUE,"training","Onshore"
108,"Hadyard Hill  Farm","onshore",-4.73190652350973,55.2568233410114,"Site: Hadyard Hill  Farm<br>Type: onshore<br>coord id: 108",TRUE,"training","Onshore"
109,"Mark Hill","onshore",-4.7463103755164,55.1283730537946,"Site: Mark Hill<br>Type: onshore<br>coord id: 109",FALSE,"validation","Onshore"
110,"Glenchamber","onshore",-4.75433364292735,54.9634204861485,"Site: Glenchamber<br>Type: onshore<br>coord id: 110",TRUE,"training","Onshore"
111,"Corriemoillie","onshore",-4.77301802976021,57.6687256561734,"Site: Corriemoillie<br>Type: onshore<br>coord id: 111",TRUE,"training","Onshore"
112,"Assel Valley  Farm","onshore",-4.77870537109877,55.2264784330539,"Site: Assel Valley  Farm<br>Type: onshore<br>coord id: 112",TRUE,"training","Onshore"
113,"Arecleoch","onshore",-4.79705350726414,55.0687849720582,"Site: Arecleoch<br>Type: onshore<br>coord id: 113",TRUE,"training","Onshore"
114,"Kilgallioch","onshore",-4.8017158503734,54.9884527579127,"Site: Kilgallioch<br>Type: onshore<br>coord id: 114",TRUE,"training","Onshore"
115,"T_TRLGW-","onshore",-4.80617088573712,55.2497706457218,"Site: T_TRLGW-<br>Type: onshore<br>coord id: 115",TRUE,"training","Onshore"
116,"Lochluichart","onshore",-4.81670114972227,57.654594170395,"Site: Lochluichart<br>Type: onshore<br>coord id: 116",TRUE,"training","Onshore"
117,"MILWW","onshore",-4.88364123193106,57.1552267815069,"Site: MILWW<br>Type: onshore<br>coord id: 117",TRUE,"training","Onshore"
118,"Clachan Flats","onshore",-4.94288982538999,56.2880927830476,"Site: Clachan Flats<br>Type: onshore<br>coord id: 118",FALSE,"validation","Onshore"
119,"Beinneun","onshore",-4.96548104707889,57.0956058035301,"Site: Beinneun<br>Type: onshore<br>coord id: 119",TRUE,"training","Onshore"
120,"Glen App","onshore",-4.98967597391924,55.0006606796383,"Site: Glen App<br>Type: onshore<br>coord id: 120",TRUE,"training","Onshore"
121,"Craig 2  Farm","onshore",-5.08712728390862,54.8684710664237,"Site: Craig 2  Farm<br>Type: onshore<br>coord id: 121",TRUE,"training","Onshore"
122,"An Suidhe","onshore",-5.21936666002629,56.2186650612119,"Site: An Suidhe<br>Type: onshore<br>coord id: 122",FALSE,"validation","Onshore"
123,"Carraig Gheal  Farm","onshore",-5.29453732195241,56.3390104189497,"Site: Carraig Gheal  Farm<br>Type: onshore<br>coord id: 123",TRUE,"training","Onshore"
124,"AChruach  Farm","onshore",-5.31021622051691,56.1527676013237,"Site: AChruach  Farm<br>Type: onshore<br>coord id: 124",TRUE,"training","Onshore"
125,"Freasdail  Farm","onshore",-5.47063873681485,55.777010553933,"Site: Freasdail  Farm<br>Type: onshore<br>coord id: 125",TRUE,"training","Onshore"
126,"Cour  Farm","onshore",-5.48492857765459,55.6806790719388,"Site: Cour  Farm<br>Type: onshore<br>coord id: 126",TRUE,"training","Onshore"
127,"Beinn An Tuirc","onshore",-5.58735269356646,55.573170618122,"Site: Beinn An Tuirc<br>Type: onshore<br>coord id: 127",TRUE,"training","Onshore"
128,"Beinn an Tuirc III","onshore",-5.61149194407955,55.5457104193648,"Site: Beinn an Tuirc III<br>Type: onshore<br>coord id: 128",TRUE,"training","Onshore"
129,"E_BLARW-","onshore",-5.64353892101316,55.5682563092006,"Site: E_BLARW-<br>Type: onshore<br>coord id: 129",TRUE,"training","Onshore"
130,"Edinbane","onshore",-6.43220609819952,57.4691268202817,"Site: Edinbane<br>Type: onshore<br>coord id: 130",TRUE,"training","Onshore"
131,"Lincs wind  offshore","offshore",0.498077002161916,53.1841724387018,"Site: Lincs wind  offshore<br>Type: offshore<br>coord id: 131",TRUE,"training","Offshore"
132,"Humber   Farm","offshore",0.500643503205939,53.3874628304249,"Site: Humber   Farm<br>Type: offshore<br>coord id: 132",TRUE,"training","Offshore"
133,"WESTERMOST_ROUGH","offshore",0.561481293458297,53.097730204706,"Site: WESTERMOST_ROUGH<br>Type: offshore<br>coord id: 133",TRUE,"training","Offshore"
134,"RACE_BANK_Z","offshore",0.589174375624372,53.1359742272228,"Site: RACE_BANK_Z<br>Type: offshore<br>coord id: 134",TRUE,"training","Offshore"
135,"Dudgeon Generator","offshore",0.613468227885712,53.1174600619073,"Site: Dudgeon Generator<br>Type: offshore<br>coord id: 135",FALSE,"validation","Offshore"
136,"Triton Knoll OSP East","offshore",0.861639087553368,53.2122722953723,"Site: Triton Knoll OSP East<br>Type: offshore<br>coord id: 136",TRUE,"training","Offshore"
137,"Sheringham Shoal Unit","offshore",1.14792186395155,53.1353185918113,"Site: Sheringham Shoal Unit<br>Type: offshore<br>coord id: 137",TRUE,"training","Offshore"
138,"Gunfleet Sands","offshore",1.21801200872639,51.7308179434838,"Site: Gunfleet Sands<br>Type: offshore<br>coord id: 138",TRUE,"training","Offshore"
139,"Gunfleet Sands","offshore",1.24592473086443,51.7271893440922,"Site: Gunfleet Sands<br>Type: offshore<br>coord id: 139",TRUE,"training","Offshore"
140,"HORNSEA_1A","offshore",1.42073950284687,53.6815416635505,"Site: HORNSEA_1A<br>Type: offshore<br>coord id: 140",TRUE,"training","Offshore"
141,"London Array","offshore",1.49583163728253,51.621679300914,"Site: London Array<br>Type: offshore<br>coord id: 141",TRUE,"training","Offshore"
142,"HORNSEA__2A","offshore",1.53998641788459,53.9599981809586,"Site: HORNSEA__2A<br>Type: offshore<br>coord id: 142",TRUE,"training","Offshore"
143,"Thanet   Limited","offshore",1.63341138985176,51.4299320582825,"Site: Thanet   Limited<br>Type: offshore<br>coord id: 143",TRUE,"training","Offshore"
144,"Dogger Bank A","offshore",1.66792096390661,55.9673366202541,"Site: Dogger Bank A<br>Type: offshore<br>coord id: 144",TRUE,"training","Offshore"
145,"Greater Gabbard Module","offshore",1.92842023683992,51.9176446593599,"Site: Greater Gabbard Module<br>Type: offshore<br>coord id: 145",TRUE,"training","Offshore"
146,"Galloper OSP","offshore",2.03999343559809,51.8799917319282,"Site: Galloper OSP<br>Type: offshore<br>coord id: 146",TRUE,"training","Offshore"
147,"East Anglia One","offshore",2.17279615900627,52.1369621302082,"Site: East Anglia One<br>Type: offshore<br>coord id: 147",TRUE,"training","Offshore"
