"bmUnit","quantity","curtailment","potential","capacity","n_hours","tech_typ","cf","cuf","pf"
"T_LNCSW-2",514189.614,26.63056,514216.24456,150,16375,"Wind Offshore",0.41867856610687,2.16839165394402e-05,0.41870025002341
"T_MIDMW-1",97562.793,13047.38508135,110610.17808135,51,13093,"Wind Onshore",0.292216595306877,0.0390790620982923,0.331295657405169
"T_MILWW-1",154261.98,23252.8445035,177514.8245035,65,15669,"Wind Onshore",0.302924402421243,0.0456616337079093,0.348586036129153
"T_MKHLW-1",107906.635,660.7083363,108567.3433363,53,14495,"Wind Onshore",0.280920903109075,0.00172006830279797,0.282640971411873
"T_MOWEO-1",701039.723,532931.683983303,1233971.4069833,300,15752,"Wind Offshore",0.296698714660572,0.225550907390936,0.522249622051508
"T_MOWEO-2",618225.07,451787.18022614,1070012.25022614,300,15808,"Wind Offshore",0.260722448549258,0.190531030797124,0.451253479346382
"T_MOWEO-3",602794.571,439894.9439292,1042689.5149292,300,15368,"Wind Offshore",0.261493393631789,0.190827235783967,0.452320629415756
"T_MOWWO-1",210572.574,3965.791669,214538.365669,215,7910,"Wind Offshore",0.247637754976039,0.00466385401934554,0.252301608995384
"T_MOWWO-2",171754.384,404.6666667,172159.0506667,215,6359,"Wind Offshore",0.25125258688473,0.000591970606318823,0.251844557491049
"T_MOWWO-3",84591.475,11294.5665926,95886.0415926,143,3174,"Wind Offshore",0.372746550865644,0.0497687354537082,0.422515286319352
"T_MOWWO-4",212287.85,0,212287.85,287,3987,"Wind Offshore",0.371045357341674,0,0.371045357341674
"T_MYGPW-1",59103.467,2594.06582637,61697.53282637,25,14878,"Wind Onshore",0.317803290764888,0.0139484652580723,0.33175175602296
"T_NNGAO-1",65000.953,0,65000.953,224,3386,"Wind Offshore",0.171401551029449,0,0.171401551029449
"T_NNGAO-2",72598.537,0,72598.537,224,2580,"Wind Offshore",0.251240784191584,0,0.251240784191584
"T_OMNDW-1",366328.05,1328.9999963,367657.0499963,150.76,14374,"Wind Offshore",0.338093172414167,0.0012265668023169,0.339319739216484
"T_PGBIW-1",22689.033,0,22689.033,10,15777,"Wind Onshore",0.287621639094885,0,0.287621639094885
"T_PNYCW-1",591882.415,7625.7803898,599508.1953898,228,15351,"Wind Onshore",0.338215817130606,0.00435755393373996,0.342573371064346
"T_RCBKO-1",1083846.056,2020.137986908,1085866.19398691,284,16119,"Wind Offshore",0.473523091024589,0.000882581044200309,0.474405672068789
