"bmUnit","quantity","curtailment","potential","capacity","n_hours","tech_typ"
"T_MOWEO-1",701039.723,532931.683983303,1233971.4069833,300,15752,"Wind Offshore"
"T_MOWEO-2",618225.07,451787.18022614,1070012.25022614,300,15808,"Wind Offshore"
"T_MOWEO-3",602794.571,439894.9439292,1042689.5149292,300,15368,"Wind Offshore"
"T_MOWWO-1",210572.574,3965.791669,214538.365669,215,7910,"Wind Offshore"
"T_MOWWO-2",171754.384,404.6666667,172159.0506667,215,6359,"Wind Offshore"
"T_MOWWO-3",84591.475,11294.5665926,95886.0415926,143,3174,"Wind Offshore"
"T_MOWWO-4",212287.85,0,212287.85,287,3987,"Wind Offshore"
"T_MYGPW-1",59103.467,2594.06582637,61697.53282637,25,14878,"Wind Onshore"
"T_NNGAO-1",65000.953,0,65000.953,224,3386,"Wind Offshore"
"T_NNGAO-2",72598.537,0,72598.537,224,2580,"Wind Offshore"
"T_OMNDW-1",366328.05,1328.9999963,367657.0499963,150.76,14374,"Wind Offshore"
"T_PGBIW-1",22689.033,0,22689.033,10,15777,"Wind Onshore"
"T_PNYCW-1",591882.415,7625.7803898,599508.1953898,228,15351,"Wind Onshore"
"T_RCBKO-1",1083846.056,2020.137986908,1085866.19398691,284,16119,"Wind Offshore"
"T_RCBKO-2",950811.779,583.486131,951395.265131,290,15384,"Wind Offshore"
"T_RMPNO-1",743789.161,178.7666663,743967.9276663,200.1,15708,"Wind Offshore"
"T_RMPNO-2",715018.529,55.141671,715073.670671,200.1,15682,"Wind Offshore"
"T_RREW-1",263040.913,82.583333,263123.496333,83,15494,"Wind Offshore"
"T_RRWW-1",301240.052,0,301240.052,90.838,15554,"Wind Offshore"
"T_SAKNW-1",142614.272,47899.85646061,190514.12846061,87,13994,"Wind Onshore"
"T_SANQW-1",112905.005,7179.36261054,120084.36761054,32.08,16471,"Wind Onshore"
"T_SGRWO-1",340297.918,852431.68994273,1192729.60794273,293,15990,"Wind Offshore"
"T_SGRWO-2",92605.318,198433.7862166,291039.1042166,79,15928,"Wind Offshore"
"T_SGRWO-3",201775.747,496086.51301534,697862.26001534,160,16013,"Wind Offshore"
"T_SGRWO-4",175979.936,421110.87790106,597090.81390106,140,15941,"Wind Offshore"
