"q0.025","median","q0.975","observed","fit","cov_loc"
76.0431636618957,127.051480273791,176.889594468922,116.891860782916,123.359504227755,0.742
710.647469364121,762.925329889429,814.091157742236,771.230723267879,762.739589406724,0.75
1080.09255782927,1124.600186089,1170.88074891671,1130.38150739132,1128.92115362571,0.76
2017.77205703401,2064.85502803119,2112.73276785237,2089.24422778239,2066.2608166601,0.746
644.96222271939,697.883353168115,751.133944300039,716.341725430285,699.727126386892,0.718
242.303816145634,288.982419701878,340.117326800095,288.07038238363,290.878868080734,0.744
900.560150628978,952.599905079642,1007.40335268115,964.3205612874,957.142000269375,0.676
161.050024692998,218.931536331448,272.640906752784,224.546745600064,218.85388420779,0.678
874.148076800573,927.474368062322,983.424280240953,922.053996941917,922.267263955061,0.716
406.295351609182,458.597152360582,511.185670357398,476.63814606496,457.455806725163,0.704
768.441453560174,816.087277384944,866.892234502757,807.933164304377,812.761533980589,0.76
1356.68749805154,1404.8273767905,1455.5514552212,1407.27761912195,1406.58080627685,0.736
807.09629217631,857.351372577941,907.29681189824,859.37077572301,857.908674991993,0.704
1915.49367670617,1965.31791818487,2006.89617150499,1979.59742293873,1960.73921032375,0.77
866.868899234944,919.475769828333,969.300126528864,940.105771292352,917.389821800518,0.718
424.148705506526,474.926526050665,525.322139752992,480.607103449397,470.778895550415,0.746
811.025673272727,863.657087611276,913.160888075372,858.281195162089,864.683761982748,0.738
1146.54602260522,1196.21088265089,1246.33452379841,1175.78069123668,1194.70961099251,0.688
658.892723574627,710.187184648334,761.855907435588,712.424634086984,706.727604545713,0.734
1998.84136809868,2045.49327956839,2093.75469953173,2030.93464285871,2043.16020588333,0.706
1084.36717902732,1134.29141646915,1183.55330408113,1143.95264767832,1133.99752205972,0.746
1022.37501994366,1070.83180883319,1125.13927203948,1070.02006488774,1068.77156727779,0.728
868.092302602107,917.197421675994,967.079810728373,916.553238694943,915.114767148458,0.672
77.7448370134937,121.343893827347,164.041109296532,131.251273217171,116.670835101288,0.856
635.240804683029,688.167083387908,743.415646153001,652.622012136892,687.498418194268,0.714
375.767485940942,421.717612199105,472.83005411032,405.902022696607,422.11530438787,0.774
-412.654844206378,-364.113021057782,-314.818768858223,-355.161690796287,-361.081885870188,0.722
1153.4153367517,1203.3552436256,1253.44691923709,1216.76614311634,1199.00747713114,0.73
714.461916460709,767.203649073622,816.277046347854,743.413888466779,765.181576676543,0.696
1390.54099817812,1442.9765622169,1494.29845725014,1452.8828513707,1446.11364880508,0.714
942.304570583916,992.821803639016,1039.30711032013,992.319125843739,994.841758994076,0.754
592.316221305491,646.527909977002,701.936026137914,645.796663218533,652.078435306639,0.732
686.824474347959,735.713341414508,789.728248716482,738.872022865417,732.196653635411,0.7
1036.65212010499,1087.59140189587,1138.12970402912,1087.58658299863,1089.10780889198,0.768
911.207397402416,962.166289468178,1013.75392141595,961.202226706072,963.86520466976,0.73
915.540627462463,968.679324419945,1019.94491076215,962.670285045198,968.15092589525,0.74
1031.03396891883,1083.9222978078,1128.65708944572,1054.9232830154,1083.19244694523,0.708
1255.94488854395,1303.4283057544,1355.30903982871,1302.9117649016,1304.53050738704,0.714
643.865481084649,688.515761645081,743.1109940504,662.029495811842,688.015332994071,0.736
1292.36356785764,1347.28076201073,1401.84413539429,1355.18519500446,1351.24238853416,0.668
1282.01563042047,1333.63401992563,1384.6306965007,1350.41269751772,1335.06886396079,0.67
764.747870547851,816.764884446337,863.099831094382,829.96336175322,817.014319204444,0.778
1267.81143557809,1316.97494006468,1368.12050683579,1320.32751336137,1316.88898337689,0.688
636.27083044597,685.828538045798,735.756037938306,716.677571446361,684.770846252671,0.732
1133.51717691895,1181.71612506606,1229.06319689622,1181.50891953885,1184.38335533425,0.714
957.918562464422,1006.61718543282,1056.99292490724,1018.79393936328,1009.69914147797,0.716
483.79899963161,532.286212971657,580.381732739528,533.887269076984,529.697727393364,0.716
1506.53566623852,1556.00585625146,1605.40160417252,1539.64933743451,1558.09291715541,0.7
