"q0.025","median","q0.975","observed","fit","cov_nonoise","cov_nonoise_is","cov_nonoise_oos","cov_noise","cov_noise_is","cov_noise_oos","aggr_in_ci"
-76.9621470386673,-25.2771402383793,26.0964570883613,-17.0669418122636,-25.6107624495283,0.86,0.865,0.84,0.992,0.995,0.98,1
164.840014738483,215.093730494003,264.749784431005,199.504893816072,211.448079444446,0.76,0.765,0.74,0.976,0.98,0.96,1
814.155904736517,865.84985754842,918.774854334569,862.775701371407,863.521823989166,0.788,0.795,0.76,0.996,1,0.98,1
307.791171428333,353.53072454686,397.973754659552,364.279754142635,351.57226877812,0.784,0.825,0.62,0.98,0.99,0.94,1
146.855672848763,193.163196071335,240.836146777422,177.768701963917,193.532428746445,0.86,0.88,0.78,0.984,0.99,0.96,1
694.013095271159,736.699135268864,781.856062363604,735.121142168665,738.494091547603,0.808,0.835,0.7,0.984,0.99,0.96,1
581.729502660105,629.481903657171,674.672185749454,632.027547082089,634.096858700726,0.784,0.83,0.6,0.968,0.99,0.88,1
431.605349730752,478.167379819338,522.284662463055,482.271703470343,474.53323264253,0.8,0.83,0.68,0.984,1,0.92,1
537.84842020283,584.916142709289,637.576882923565,594.882099618625,583.456913486634,0.72,0.75,0.6,0.968,0.995,0.86,1
713.813639262659,761.317112727486,801.428624713339,753.9506056682,764.501586929903,0.848,0.88,0.72,0.988,1,0.94,1
291.774548803679,341.879457726151,387.458766388939,328.297073889186,346.37185256145,0.868,0.895,0.76,0.968,0.985,0.9,1
264.442943350765,314.448415255595,363.621030246438,315.902994830807,314.310756457827,0.784,0.8,0.72,0.988,0.995,0.96,1
253.979165267549,301.069851744004,343.996629574651,284.43567459394,298.748606487182,0.872,0.9,0.76,0.988,1,0.94,1
301.396584821278,345.666448079221,385.384734810173,345.385611519304,343.725679376803,0.836,0.87,0.7,0.996,1,0.98,1
163.082069848696,213.828100344949,269.779715121575,226.322346308945,211.24853303704,0.8,0.815,0.74,0.984,0.995,0.94,1
760.521252811706,810.197894395913,858.213822687031,805.145298105801,807.685351383372,0.768,0.815,0.58,0.976,0.99,0.92,1
592.650628902569,635.470934181518,683.906179069933,631.68473377444,636.04472425693,0.864,0.89,0.76,0.984,0.995,0.94,1
186.426652523368,232.770913591047,278.989948917631,233.802250377495,235.701655766172,0.832,0.855,0.74,0.988,0.995,0.96,1
523.424841709984,578.400254163031,630.821820570247,592.68142580145,578.231424000809,0.708,0.73,0.62,0.988,1,0.94,1
405.986362432662,452.213094438071,504.446434947206,435.31777728542,453.531022206909,0.76,0.785,0.66,0.988,0.995,0.96,1
511.235429738627,553.904263579724,603.293747206561,554.401868491337,553.558397853765,0.82,0.84,0.74,0.988,0.995,0.96,1
973.835103141915,1019.36403265084,1072.39756350869,1016.88866314847,1018.40340773609,0.82,0.845,0.72,0.984,0.995,0.94,1
363.077742234728,413.372465099848,464.597458182775,419.161174925216,413.337688557424,0.732,0.755,0.64,0.98,0.995,0.92,1
900.643400584238,949.115826762705,998.111882494289,960.142657811688,950.937044387099,0.752,0.76,0.72,0.984,1,0.92,1
235.886764947035,289.932330667679,338.244942929668,300.090167118744,288.811375740201,0.716,0.715,0.72,0.988,0.995,0.96,1
354.122286869863,404.213262684739,455.856552798606,399.020488597543,406.290082751273,0.796,0.825,0.68,0.992,1,0.96,1
639.724573128443,683.484010729923,725.056781006593,689.166609554038,682.849958025589,0.772,0.795,0.68,0.968,0.995,0.86,1
231.347881573293,283.501074126983,336.437237176833,279.490313728408,280.100819463466,0.812,0.825,0.76,0.992,1,0.96,1
140.993233176533,195.455326423515,253.141221837054,179.666205576587,195.641200630254,0.772,0.795,0.68,0.992,0.99,1,1
162.159055683237,208.461315756676,249.489973081604,203.075797247166,207.03145459338,0.808,0.85,0.64,0.98,0.99,0.94,1
940.289861723446,988.645050895769,1031.77895901819,987.686431075648,990.087790839606,0.848,0.85,0.84,0.992,0.995,0.98,1
377.651141190552,422.175741239877,468.121618485633,402.738302501459,424.771688780984,0.86,0.89,0.74,0.992,1,0.96,1
770.196645729871,824.78636345006,878.110260759594,816.6243485265,824.252580968843,0.82,0.835,0.76,0.988,0.99,0.98,1
734.561851349363,790.648508298613,845.632133827998,786.993228136975,789.985989537822,0.796,0.805,0.76,0.992,0.995,0.98,1
